problem_id,code,error_id_1,Knowledge_id_2,error_class_id
p2506,"#include<stdio.h>
int main(){
    int n,j,i;
    scanf(""%d"",&n);
    for(j=0;j<n;j++){
        if(j==0){
            for(i=0;i<=n-1;i++){
                printf("" "");
            }
        }
        printf(""*"");
    }
    printf("" "");
    for(i=2;i<=n;i+=){
        for(j=0;j<n-i;j++){
            printf("" "");
        }
        printf(""*"");
        for(int m=0;m<n+2*1-4;m++){
            printf(""*"");
        }
        printf(""*"");
    }
    for(i=n-1;i>=2;i++){
        for(j=i;j<n;j++){
            printf("" "");
        }
        printf(""*"");
        for(int m=n+2*i-4;m>0;m--){
            printf("" "");
        }
        printf(""*"");
    }
    for(j=0;j<n;j++){
        if(j==0){
            for(i=0;i<n-1;i++){
                printf("" "");
            }
        }
        printf(""*"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2507,"#include<stdio.h>
int main(){
    int a,b,i;
    int m=0;
    scanf(""%d%d"",&a,&b);
    for(i=a;;i++){
        if(i%b==0&&i%a==0)
        break;
    }
    for(int q=1;q<=a;q++){
        if(a%q==0&&b%q==0){
            if(m<q){
                m=q;
            }
        }
    }
    printf(""%d %d"",,m);
    return 0;
}",符号错误或缺失-,无,E21
p2508,"#include<stdio.h>
int main(void)
{
    int n;
    scanf(""%d"",&);
    if(n%6==0||n%7==0)
    printf(""YES"");
    else
    prinf(""No"");
}",符号错误或缺失-,无,E21
p2509,"#include<stdio.h>
#include<string.h>
int main()
{
    long long a,b;
    int n=0;
    scanf(""%lld%lld"",&a,&b);
    scanf(""%d"",&n);
    int arr[n];
    printf(""%d.""a/b);
    a=a%b*10;
    fir(int i=0;i<n;i++){
        arr[i]=a/b;
        a=a%b*10;
        printf(""%d"",arr[i]);
    }
    return 0;
}",符号错误或缺失-,无,E21
p2510,"#include<stdio.h>
int main(){
    int a,b,c,d,e,f,g;
    scanf(""%d%d%d"",&a,&b,&c);
    if(a>=90&&a<=100){
        d=1;
    }
    if(a<90){
        d=0;
    }
    if(b>=90&&b<=100){
        e=1;
    }
    if(b<90){
        e=0;
    }
    if(c>=90&&<=100){
        f=1;
    }
    if(c<90){
        f=0;
    }
    g=d+e+f;
    printf(""%d"",g);
    return 0;
}",符号错误或缺失-,无,E21
p2511,"#include<stdio.h>
int main(){
    int n,i,j,k,;
    scanf(""%d"",&n);
    for(i=1;i<=n;i++){
        for(k=1;k<=n-i;k++){
            printf(""%3d"",i);
        }
        for(j=i;j>=1;j--){
            printf(""%3d"",j);
        }printf(""\n"");
    }return 0;}",符号错误或缺失-,无,E21
p2512,"#include<stdio.h>
#include<string.h>
int main(){
    char s[10];
    int n, cnt=0;
    while(scanf(""%d"",&n)!=EOF){
    while(n>0){
        strcpy(s,""\0"");
        scanf(""%s"",s);
        if((s[0]>='H'&&<='Q')||(s[0]>='U'&&s[0]<='Z')){
        cnt++;
        n--;
        }
    }
    }
    printf(""%d"",cnt);
    return 0;
}",符号错误或缺失-,无,E21
p2513,"#include<stdio.h>
int main(){
    int i,n,m,a,s=0;
    scanf(""%d%d"",&n,&m);
    for(n<m;n++){
        for(i=2;i<=n;i++){
            a=n%i;
        }if(a==0){
            break;
        }if(a!=0){
            s++;
        }
    }printf(""%d"",s);
    return 0;
    
}",符号错误或缺失-,无,E21
p2514,"#include<stdio.h>
int main(void)
{   scanf(""Hello, World!"");
    printf(""Hello, World!\n);
    return 0;
}",符号错误或缺失-,无,E21
p2515,"#include<stdio.h>
int main(void)
{    printf(""Hello, World!\n);
}",符号错误或缺失-,无,E21
p2516,"#include <stdio.h>
int main (void)
{
	int x1=1,x2=1,x,i,n;
	scanf (""%d"",&n);
	for(i=;i<=n-2;i++)
	{
		x=x1+x2;
		x1=x2;
		x2=x;
	}
	printf (""%d\n"",x);
	return 0;
}",符号错误或缺失-,无,E21
p2517,"include(stdio.h)
#include<math.h>
int main(void)
{
    int i,n;
    scanf(""%d"",&n);
    i=pow(2,n);
    printf(""%d\n"",i);
    return 0;
}",符号错误或缺失-,无,E21
p2518,"include<stdio.h>
int main(void)
{printf(""hello,world!.In"");
return0;}",符号错误或缺失-,无,E21
p2519,"#include<stdio.h>
int  main()
{
    printf(""Hello,World!);
    return 0;
}",符号错误或缺失-,无,E21
p2520,"#include<stdio.h>
int main(void)
{
    int why;
    int zqf;
    int water;
    why=23;
    zqf=11;
    water=20/why*zqf;
    
     printf(""Eat%d.\n""water);
     
     return 0;
}",符号错误或缺失-,无,E21
p2521,"#include<stdio.h>
int main()
{
    int m,;
    scanf(""%d"",&m);
    if(m>=86)
    printf(""VERY GOOD"");
    if(60<=m&&m<=85)
    printf(""GOOD"");
    if(m<60)
    printf(""BAD"");
    return 0;
}",符号错误或缺失-,无,E21
p2522,"#include <stdio.h>
#include <math.h>
int main()
{
    int i,n,limit,;
    scanf(""%d"",&n);
    if(n<=1){
        printf(""F\n"");
    }else if(n==2){
        printf(""T\n"");
    }else limit=sqrt(n)+1;
    for(i=2;i<=limit;i++)
    {
    if(n%i==0)
    {break;}
    }
    if(i>limit){
        printf(""T\n"");}
    else{
        {printf(""F\n"");}
    }
    
    return 0;
}",符号错误或缺失-,无,E21
p2523,"#include<stdio.h>
int main(void)
{
    int n,m;
    n=3;
    m=2^n;
    
    printf(""%d.\n""m);
    
    return 0;
}",符号错误或缺失-,无,E21
p2524,"#include<stdio.h>
int main()
{
    int why;
    int zqf;
    int water;
    why=23;
    zqf=11;
    water=20/why*zqf;
    
     printf(""Eat%d.\n""water);
     
     return 0;
}",符号错误或缺失-,无,E21
p2525,"#include<stdio.h>
int main()
{
    int n,w;
    scanf(""%d"",&n);
    int a=n,;
    int b=n-a;
    if((a-b)<=1)
        w++;
        printf(""%d"",w);
    
    
    
    
    
    return 0;
}",符号错误或缺失-,无,E21
p2526,"#include<stdio.h>
int main(void)
{
	long int m,n,x,y,i;
	scanf(""%ld"",&x);
    scanf(""%ld"",&y);
   if(x==1||x==1000)
   printf(""0"");
   else if()
   
   else{
   m=x,n=y;
   for(i=1;i<x;i++)
   {
       scanf(""%d"",&y);
       if(n>=y)
       n=y;
       else if(m<=y)
       m=y;
   }
	printf(""%ld %ld"",x,m-n);}
	return 0;
}
",符号错误或缺失-,无,E21
p2527,"#include<stdio.h>
int main(void)
{
    int n,v;
    n=2;
    v=n*n*n;
    
    printf(""%d""v);
    
    return 0;
}",符号错误或缺失-,无,E21
p2528,"#include <stdio.h>
int main ()
{
    int n,i,j;
    int a[20000];
    scanf(""%d"",&n);
    for (i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    for (i=0;i<n;i++){
        for (j=0;j<i;j++){
            if (a[i]==a[j]){
                
                a[i=a[j];
                i-=1;
                n--;
            
            }
        }
    }
    for (i=0;i<n;i++){
        printf(""%d "",a[i]);
    }
    
    
    return 0;
}",符号错误或缺失-,无,E21
p2529,"#include<stdio.h>
#include<math.h>
int main(void)
{
	int r,h,v;
	scanf(""%d %d"",&h,&r);
	v=3.14*pow(r/10,2)*(h/10);
	if(v>0 && v<=20)
		printf(""%d\n""20/v);
	else
		printf(""1"");
	return 0;
}",符号错误或缺失-,无,E21
p2530,"#include<stdio.h>
int main()
{
	int a;
	scanf(""%d"",&a);
	if(a==21)
    printf(""7"");
	if(a==20)
    printf(""10"");
    if(a==18)
    printf(""9"");
    if(a==16)
    printf(""8"");
    if(a==15)
    printf(""5"");
    if(a==14)
    printf(""7"");
    if(a==12)
    printf(""6"");
    if(a==10)
    printf(""5"");
    if(a==8)
    printf(""4"");
    if(a==6)
    printf(""3"");
    if(a==4)
    printf(""2"");
    if(a==50)
    printf(""25"");
    if(a==100)
    printf(""50"");
    if(a==500)
    printf(""250"");
    if(a==1000)
    printf(""500"");
    if(a>1000)
    printf(""%d""a/2);
    return 0;
}",符号错误或缺失-,无,E21
p2531,"#include<stdio.h>
int main(){
    int n,i,s=0,;
    scanf(""%d"",&n);
    for(i+1;i<=n;i++){
        if(i%2==1)
        s=i+1;
        printf(""%d"",s);
    }
    return 0;
}",符号错误或缺失-,无,E21
p2532,"#include<stdio.h>
int f(int n){
    int i;
    for(i=2;i<=n;i++){
        if(n%i!=0){return 1;}
        if(n%i==0){return 0;break;}
    }
}
int main(){
    int n,a[100]={0},s=0;
    scanf(""%d"",&n);
    for(int i=1;i<=n;i++){
        scanf(""%d"",&a[i]);
        if(a[i]>s){s=a[i];}
    }
    if(f(s)==1){printf(""%d[0]"",s);}
    if(f(s)==0){printf(""%d[1]""s);}
    return 0;
}",符号错误或缺失-,无,E21
p2533,"#include<stdio.h>
int main(){
    int a,b,c,n;
    scanf(""%d""&n);
}",符号错误或缺失-,无,E21
p2534,"#include<stdio.h>
#include<math.h>
#define max 10001
int main(){
    int a[max],;
    int i,x,n,cnt;
    scanf(""%d"",&n);
    for(i=1;i<=max;i++){
        scanf(""%d"",&a[i]);
        a[i]++;
    }
    
    return 0;
}
int sushu(int n){
    int i,flag=1;
    for(i=2;i<=sqrt(n);i++){
        if(n%i==0){
            flag=0;
        }else{
            flag=1;
        }
    }
    if(flag==0){
        return 0;
    }else{
        return 1;
    }
}",符号错误或缺失-,无,E21
p2535,"include<stdio.h>
int main()
{
    printf(""10 12 93 75"");
}",符号错误或缺失-,无,E21
p2536,"#include<stdio.h>
int main(){
    int a,b,c,n;
    scanf(""%d%d%d""&a,&b,&c);
    if(a+b+c<=2){
        printf(""1"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2537,"#include<stdio.h>
int main(){
    int a=0,b,c;
    scanf(""%d%d%d""&a,&b,&c);
    if(a+b+c<=2){
        printf(""1"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2538,"#include<stdio.h>
int main(){
    int a,b,c;
    scanf(""%d%d%d""&a,&b,&c);
    if(a+b+c<=2){
        printf(""1"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2539,"#include<stdio.h>
int main(){
    int n;
    scanf(""%d"",&n);
    char s,t;
    scanf(""%c %c\n"",&s,&t);
    
    if(){
        printf(""YES"");
    }else{
        printf(""NO"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2540,"#include<stdio.h>
#include<math.h>
int f(int x){
    int i;
    for(i=2;i<=sqrt(x);i++)
        if(x%i==0){
        return 1;}
        else return 0;
    
}
int main(){
    int n,i=1,sum=0,;
    scanf(""%d"",&n);
    for(int i=2;i<=n;i++){
        if(f(i)==0){
          sum=sum+i;}
    }
    printf(""%d"",sum);
    return 0;
}",符号错误或缺失-,无,E21
p2541,"#include<stdio.h>
int main(){
    int n,b,c,;
    int a[100001]={0};
    scanf(""%d"",&n);
    int m=64;
    c=m%10;
    b=m/10%10;
    for(int i=0;i<=7;i++){
        if(i==4)
        a[i]++;
    }printf(""%d"",b);
    return 0;
}",符号错误或缺失-,无,E21
p2542,"#include<stdio.h>
int main(){
    int n;
    scanf(""%d"",&n);
    for(int i=n-1;i>=1;i--){
        if(n%i==0){
            scanf(""%d ""i);
        }
    }
    printf(""6=3*2*1"");
    return 0;
}",符号错误或缺失-,无,E21
p2543,"#include<stdio.h>
#include<math.h>
int f(int x){
    int i;
    for(i=2;i<=sqrt(x);i++){
        if(x%i==0){
            return 0;
        }
    }
    return 1;
}
int main(){
    int n,i,min=100000,;
    scanf(""%d"",&n);
    int a[n];
    for(i=0;i<n;i++){
        scanf(""%d"",&a[i]);
    }
    for(i=0;i<=n;i++){
        min=min>a[i]?a[i]:min;
    }
    if(min==0){
        printf(""%d"",min);
        printf(""[1]"");
    }else{
        printf(""%d"",min);
        printf(""[0]"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2544,"#include<stdio.h>
int main(){
    int n,m,k=1,;
    for(int i=1;i<=n;i++){
        k=10;
        m=n+n*k;
    }
    m=m+n;
    printf(""%d"",m);
    return 0;
}",符号错误或缺失-,无,E21
p2545,"#include<stdio.h>
#include<math.h>
int main()
{
    int a,b,c,d,r=0;
    scanf(""%d"",&a);
    for(b=1;b<=a;b++){
        scanf(""%d"",&c);
        if(c>r)
        r=c;
        if(r%c!=0)
        printf(""%d ""r);
    }
}",符号错误或缺失-,无,E21
p2546,"#include<stdio.h>
int main(){
        printf(""我的成功率是100%);
        return 0;
}",符号错误或缺失-,无,E21
p2547,"#include<stdio.h>
int main()
{
    int a,b;
    scanf(""%d%d"",&a,&b);
    printf(%d%d,a/b,a%b);
    return 0;
}",符号错误或缺失-,无,E21
p2548,"#include<stdio.h>
#include<math.h>
int main()
{
	int a,b,c,i,j;
	for(i=1;i<=5;i++){
		for(j=1;j<=5;j++){
			scanf(""%d"",&a);
		}
		printf(""\n"");
	}
	scanf(""%d %d""&b,&c);
	printf("""")
}",符号错误或缺失-,无,E21
p2549,"#include<stdio.h>
int main()
{
    int a,b c,i;
    scanf(""1 2 2 1 2\n"");
    scanf(""5 6 7 8 3\n"");
    scanf(""9 3 0 5 3\n"");
    scanf(""7 2 1 4 6\n"");
    scanf(""3 0 8 2 4\n"");
    scanf(""1 5"");
    printf(""1 2 2 1 2\n"");
    printf(""5 6 7 8 3\n"");
    printf(""9 3 0 5 3\n"");
    printf(""7 2 1 4 6\n"");
    printf(""1 2 2 1 2\n"");
    return 0;
}",符号错误或缺失-,无,E21
p2550,"
#include<stdio.h>
int main()
{
int i,n,x1,x2,x3,y;

scanf(""%d\n"",&n);
scanf(""%d""&x1);
printf(""%d"",X1);
for(i=1;i<=n-1;i++)
{

scanf(""%d"",&x2);
if(x1!=X2)
{x1=x2;
printf(""%d"",X1);}
else{
    printf(""%d"",X1);
}

}
return 0;
}


",符号错误或缺失-,无,E21
p2551,"#include<stdio.h>
#include<string.h>
int main(){
    int i,n,j;
    char a[100],b[100];
    scanf(""%d""&n);
    for(int m=0;m<n;m++){
        scanf(""%s"",a);
        scanf(""%s"",b);
        int la=strlen(a);
        for(i=0;i<(la/2);i++){
            printf(""%c"",a[i]);
        }
        printf(""%s"",b);
        for(j=(la/2);j<la;j++){
            printf(""%c"",a[i]);
        }
        printf(""\n"");
    }
    
    
    
    
    
    return 0;
}",符号错误或缺失-,无,E21
p2552,"#include<stdio.h>
int main(){
    scanf(""%i"",);
    printf(""%d"",);
    return 0;
}",符号错误或缺失-,无,E21
p2553,"#include<stdio.h>
int main ()
{
    double a,b;
    int q;
    double t;
    scanf(""%lf %lf""&a,&b);
    q=a/b;
    t=a-q*b;
    printf(""%.4f"",t);
    return 0;
}",符号错误或缺失-,无,E21
p2554,"#include<stdio.h>
int main ()
{
    int  a,b,q,t;
    scanf(""%d %d""&a,&b);
    q=3.14*r*r*h;
    t=20000.0/q;
    printf(""%d"",q+1);
    return 0;
}",符号错误或缺失-,无,E21
p2555,"#include<stdio.h>
int main ()
{
    int  r,h,q,t;
    scanf(""%d %d""&r,&h);
    q=3.14*r*r*h;
    t=20000.0/q;
    printf(""%d"",t+1);
    return 0;
}",符号错误或缺失-,无,E21
p2556,"#include<stdio.h>
#include<string.h>
int main(){
    char a[5];
    scanf(""%[^\n]""a);
    int t=0;
    int d=strlen(a);
    for(int i=0;i<d;i++){
        if(a[i]!=' '){
            t++;
        }
    }
    printf(""%d"",t);
    return 0;
}

",符号错误或缺失-,无,E21
p2557,"#include <stdio.h>
int main()
{
    char c1 c2;
    scanf(""%c %c"",&c1,&c2);
    c1=A;
    c2=a;
    c1=c2-32;
    c2=c1-32;
    printf(""%c %c"",c1,c2);
    return 0;
}",符号错误或缺失-,无,E21
p2558,"#include<stdio.h>
#include<math.h>
int main()
{
   float x1,y1,x2,y2,x3,y3;
    float c,s;
    scanf(""%f %f %f %f %f %f""&x1,&y1,&x2,&y2,&x3,&y3);
    p=sqrt((x1,2)+(y1,2))+sqrt((x2,2)+(y2,2))+sqrt((x3,2)+(y3,2));
    s=sqrt(p*(p-sqrt((x1,2)+(y1,2)))*(p-sqrt((x2,2)+(y2,2)))*(p-sqrt((x3,2)+(y3,2)));
    printf(""%.2f"",s);
    return 0;
}",符号错误或缺失-,无,E21
p2559,"#include<stdio.h>
int main()
{
    double a;
    scanf(""%lf"",&a);
    printf(""%f""a);
    printf(""%.5f\n"",a);
    printf(""%e\n"",a);
    printf(""%g\n"",a);
    return 0;
}",符号错误或缺失-,无,E21
p2560,"#include<stdio.h>
int arr[10000000];
int pell(int a){
   arr[0]=0;
   arr[1]=1;
   arr[2]=2;
   for(int i=3;i<a;i++){
       arr[i]=arr[i-1]*2+arr[i-2];
   }
   return arr[];
}
int main(){
    int n;
    scanf(""%d"",&n);
    printf(""%d"",pell(n));
    return 0;
}",符号错误或缺失-,无,E21
p2561,"#include<stdio.h>
int main(){
    int d,y=0,x=1,i;
    for(d=9;d>;d--){
        y=(x+1)*2;
        x=y;
    }
    printf(""%d"",y);
    return 0;
}",符号错误或缺失-,无,E21
p2562,"#include<stdio.h>
#include<stdlib.h>
int cmp(const void *a,const void *b){
    return *(int *)a-*(int *)b;
}
int main(){
    int i,j,n,r,t;
    scanf(""%d%d"",&n,&r);
    int a[n],w=0,num;
    for(i=0;i<n;i++){
        scanf(""%d"",&a[i]);
        w+=a[i];
    }
    qsort(a,n,sizeof(int),cmp);
    for(i=0;i<r;i++){
        t=n-i-(n/r)*r;
        num=n/r+(t>0);
        for(j=i+r;j<n;j+=r){
            w+=a[j-r]*(num-1);
            num--;
        }
    }
    printf(""%d"",);
    return 0;
}",符号错误或缺失-,无,E21
p2563,"#include<stdio.h>
int main()
{
    int a,b,sum,;
    while(scanf(""%do %d"",&a,&b)!=EOF)
        sum=a+b;
        {printf(""%d\n"",sum);}
    return 0;
}",符号错误或缺失-,无,E21
p2564,"#include<stdio.h>
int main (){
    int a,b,m,j;
        scanf(""%d"",);
    print(""%d"",j);
    return 0;
}",符号错误或缺失-,无,E21
p2565,"#include<stdio.h>
#include<math.h>
int main(void)
{
    int a,b,m;
    double s;
    scanf(""%d%d%d"",&a&b&m);
    s=pow(a,b)%m;
    printf(""%.0f"",s);
    return 0;
}",符号错误或缺失-,无,E21
p2566,"#include<stdio.h>
#include<math.h>
int main(void)
{
    int a=1,b,m;
    double s;
    scanf(""%d%d%d"",&a&b&m);
    s=pow(a,b)%m;
    printf(""%.0f"",s);
    return 0;
}",符号错误或缺失-,无,E21
p2567,"#include<stdio.h>
int a[50][150]={0};
void Convert(int num[]){
    int i,j,last;
    for(i=1;i<=50;i++){
        if(num[i]>=10){
            num[i+1]+=num[i]/10;
            num[i]=num[i]%10;
        }
        if(num[i])last=i;
    }
    num[0]=last;
}
int main(){
    int i,j,k,n;
    scanf(""%d"",&n);
    for(i=1;i<=n;i++){
        if(i==1){
            a[1][1]=a[1][0]=1;
            a[0][0]=a[0][1]=1;
        }else{
            for(j=1;j<=a[i-1][0];j++)
            a[i][j]=[i-1]*j;
            Convert(a[i]);
            for(j=1;j<=a[i][0];j++)
            a[0][j]+=a[i][j];
            Convert(a[0]);
        }
    }
    for(i=a[0][0];i>0;i--){
        printf(""%d"",a[0][i]);
    }
    
    
    return 0;
}",符号错误或缺失-,无,E21
p2568,"#include <stdio.h> 
int main() {
	char a=0;   
	scanf(""%c"", &a);
	printf(""%c""a+2);
	return 0;
}

",符号错误或缺失-,无,E21
p2569,"#include <stdio.h>

int main() {
    int n=0;
    scanf(""%d"" &n);
    for(int z=1; z<=n; z++) {
        for(int x=1; x<=n; x++) {
            if(z>=x) {
                printf(""★"");
                else {
                    printf(""  "");
                }
            }
        }
        printf(""\n"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2570,"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"" &n);
    for(int z=1; z<=n; z++) {
        for(int x=1; x<=n; x++) {
            if(z>=x) {
                printf(""★"");
                else {
                    printf(""  "");
                }
            }
        }
        printf(""\n"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2571,"#include<stdio.h>
#include<string.h>
char s[10100],ss[10100];
int a[10100],b[10100];
int len;

void jia()     //自定义函数""jia""(名字low了一点（好像不是一点，但容易理解不是吗）) 
{
	int l1 = strlen(s);     //""strlen""是一个计算字符串长度的函数 
	int l2 = strlen(ss);    //将输入的两个字符串的长度赋值给l1,l2
	if (l1 > l2) 
		len = l1;      //将len赋值为l1,l2中大的那个 
	else 
		len = l2;
//		for (int i = 0 ; i <= len ; i++)  //清零（这里for循环和下面三句memset都为将字符串清零 ） 
//			a[i] = b[i] = c[i] = 0;
	memset(a,0,sizeof(a));    //清零too(只能清零，不能干别的) 
	memset(b,0,sizeof(b));    //这是清零函数（字符串） 
	                                       //两个for循环是将输入的两个字符串倒过来
	for (int i = l1 - 1 ; i >= 0 ; i--)    //再将字符串里的字符转换为数字赋值给a,b整型数组 
		a[l1 - i - 1] = s[i] - '0';        //但为什么大数要用字符串存呢？
	for (int i = l2 - 1 ; i >= 0 ; i--)    //因为大数太大，用任何整型变量都存不下 
		b[l2 - i - 1] = ss[i] - '0';       //为什么要把字符串倒过来赋值呢？ 
	                                //因为大数与大数是一位一位运算的，还要涉及进位等 
	for (int i = 0 ; i < len ; i++)
	{
		a[i] = a[i] + b[i];    //运算 
		a[i+1]+= a[i] / 10;    //如有进位，在后一位上加上 
		a[i] = a[i] % 10;      //原来那一位减掉进位了的 
	}
	if (a[len] != 0) len++;    //如果有进位就多显示一位（这句话很重要） 

	while (a[len - 1] == 0 && len>1) len--;		//我叫它while去零法
		
	for (int i = len - 1 ;i >= 0 ;i--)  //输出结果 
		printf(""%d"",a[i]);
	printf(""\n"");
}                              //高精度加法你懂了吗？

int main()
{
	while (scanf(""%s%s"",s,ss)!=EOF)
	{
        printf(\n""); 
		jia();     //引用高精度加法函数
        printf(""\n\n"");
	}
	return 0;
}
",符号错误或缺失-,无,E21
p2572,"#include<stdio.h>
#include<math.h>
int main(void)
{
    int a,b m,t,h;
    double h;
    t=0;
    h=0;
    scanf(""%d %d %d"",&a,&b,&m);
    t=pow(a,b);
    h=t%m;
    printf(""%d"",h);
    return 0;
}",符号错误或缺失-,无,E21
p2573,"#include<stdio.h>
#include<string.h>
int n,ans,pos,m[256][256],v[256],d[256],p[256];
int dp(int x)
{
    if(d[x]) return d[x];
    d[x]=v[x];
    for(int i=x+1;i<+n;i++)
    {
        if(m[x][i] && d[x]<v[x]+dp(i))
        {
            d[x]=v[x]+dp(i);
            p[x]=i;
        }
    }
    return d[x];
}
void f(int x)
{
    while(x)
    {
        if(p[x]) printf(""%d-"",x);
        else printf(""%d\n"",x);
        x=p[x],;
    }
    printf(""%d"",ans);
}
int main()
{
    scanf(""%d"",&n);
    for(int i=1;i<=n;i++)
    {
        scanf(""%d"",&v[i]);
        int x,y;
        while(scanf(""%d%d"",&x,&y)==2&&x&&y)
        m[x][y]=1;
        for(int i=n;i>0;i--)
        {
            if(dp(i)>ans)
            {
                ans=dp(i);
                pos=i;
            }
        }
    }
    f(pos);
    return 0;
}",符号错误或缺失-,无,E21
p2574,"#include <stdio.h>
long factorial(int n) 
{
    if (n == 1)
    {
        return 1;
    }
    else 
    {
        return factorial(n - 1) * n;  // 递归调用
    }
}
int main() 
{
    int a;
    printf(""Input a number: "");
    scanf(""%d"", &a);
    printf(%ld\n"", a, factorial(a));
    return 0;
}
",符号错误或缺失-,无,E21
p2575,"#include <stdio.h>

int main() {
    int n;
    scanf(""%d"",&n);
    for(int z=1; z<=n; z++) {
        for(int x=1; x<=n; x++) {
            if(z>=x) {
                printf(★);
            }
            else {
                printf(""  "");
            }
        }
        printf(""\n"");
    }
    return 0;
}",符号错误或缺失-,无,E21
p2576,"#include<stdio.h>
#include<stdlib.h
int min(int a,int b)
{
    if(a<b)
        return a;
    else
        return b;
}
int a[1001];
int main()
{
    int T;
    scanf(""%d"",&T);
    while(T--)
    {
        int i,n,time=0;
        scanf(""%d"",&n);
        for(i=0; i<n; i++)
        {
            scanf(""%d"",&a[i]);
        }
        sort(a,a+n);
        while(n>3)
        {
            time+= min(2*a[1]+a[0]+a[n-1],a[n-2]+a[0]*2+a[n-1]);
            n -= 2;
        }
        if(n==1)
            time+=a[0];
        if(n==2)
            time+=a[1];
        if(n==3)
            time+=a[0]+a[1]+a[2];
        printf(""%d\n"",time);
    }
    return 0;
}",符号错误或缺失-,无,E21
p2577,"#include <stdio.h>
int main() {
    char a,;
    scanf(""%c"",&a);
    printf(""%c"",a=100);
    return 0;
}   ",符号错误或缺失-,无,E21
p2578,"#include <stdio.h>
int main()
{
   printf(""%d"",,sizeof(""Hello, World!""));
    return 0;
}",符号错误或缺失-,无,E21
p2579,"#include <stdio.h>
int main()
{
    int a, b, c, t, n;
    scanf(""%d%d%d"", &a, &b, &c);
    if(a>b) t=b b=a a=t;
    if(a>c) t=c c=a a=t;
    if(b>c) t=c c=b b=t;
    if(a==0) n= b*100 + a*10 + c;
    else n= a*100 + b*10 + c;
    printf(""%d"", n);
    return 0;
}",语句未以“;”结束-,无,E8
p2580,"#include<stdio.h>
int main()
{
    int A,B;
    scanf(""%d%d"",&A,&B);
    printf(""%d""A+B);
    return 0;
}",符号错误或缺失-,无,E21
p2581,"#include<stdio.h>
main()
{
    int X a,b,c,s;
    scanf(""%d,&N"");
    a=N/100;
    b=N/10%10;
    c=N/%10;
    s=a+b+c;
    printf(""%d\n"",s);
    return 0
}",符号错误或缺失-,无,E21
p2582,"#include<stdio.h>
#include<string.h>
int main(){
    int n,i,m;
    scanf(%d,&n);
    for(i=1;i<=n;i++){
        scanf(""%c"",&m);
        printf(""%d"",m);
    }
    return 0;
}",符号错误或缺失-,无,E21
p2583,"#include<stdio.h>
int main(){
    int n=0,a,b,c,e;
    scanf(""%d"",&n);
    a=n/100;
    b=a/10%10;
    c=a%10;
    if(a>b&&b>c){  e=a-c;
    printf(""%d"",e);}
    else  if(a>c&&>b){  e=a-b;
    printf(""%d"",e);}
    else  if(b>a&&a>c){  e=b-c;
    printf(""%d"",e);}
    else  if(b>c&&c>a){  e=b-a;
    printf(""%D""e);}
    elsse if(c>a&&a>b){  e=c-b;
    peinrf(""%d"",e);}
    else  if(c>b&&b>a){  e=c-a;
    peinrf(""%d"",e);}
    return 0;
}",符号错误或缺失-,无,E21
p2584,"#include<stdio.h>
int main()
{
    int A,B,;
    scanf('%d%d,&A,&B');
    prinf(""%d,A+B"");
    RETURN 0;
}",符号错误或缺失-,无,E21
p2585,"#include<stdio.h>
  int a,b,c,d,e,f;
  int main(void)
{
    scanf(""%d""&e);
    a=e/1000;
    b=e/100%10;
    c=e/10%10;
    d=e%1000%100%10;
    a=(a+5)%10;
    b=(b+5)%10;
    c=(c+5)%10;
    d=(d+5)%10;
    f=d*1000+c*100+b*10+a*1;
    
    
    printf(""%d"",f);
    return 0;
}",符号错误或缺失-,无,E21
p2586,"#include<stdio.h>
int main(){
    int n,a,b,c,e;
    scanf(""%d"",&n);
    a=n/100;
    b=a/10%10;
    c=a%10;
    if(a>b&&b>c){  e=a-c;
    printf(""%d"",e);}
    else  if(a>c&&c>b){  e=a-b;
    printf(""%d"",e);}
    else  if(b>a&&a>c){  e=b-c;
    printf(""%d"",e);}
    else  if(b>c&&c>a){  e=b-a;
    printf(""%d""e);}
    elsse if(c>a&&a>b){  e=c-b;
    peinrf(""%d"",e);}
    else  if(c>b&&b>a){  e=c-a;
    peinrf(""%d"",e);}
    return 0;
}",符号错误或缺失-,无,E21
p2587,"include<stdio.h>
int main()
{
    int a,b,c,d;
    d = a+b+c;
    printf(""%d"",d);
    return 0;
}",符号错误或缺失-,无,E21
p2588,"#include<stdio.h>
int main(){
    int x,a,b,c,d,y,;
    scanf(""%d"",x);
    a=x/1000;
    b=(x-a*1000)/100;
    c=(x-a*1000-b*100)/10;
    d=x-a*1000-b*100-c*10;
    y=d*1000+c*100+b*10+a;
    printf(""%d"",y);
    return 0;
}",符号错误或缺失-,无,E21
